X;ac;al;am;ap;ba;ce;df;es;go;ma;mt;ms;mg;pa;pb;pr;pe;pi;rn;rs;rj;ro;rr;sc;sp;se;to;destino
ac;19.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
al;12.00;20.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
am;12.00;12.00;20.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
ap;12.00;12.00;12.00;18.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
ba;12.00;12.00;12.00;12.00;20.50;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
ce;12.00;12.00;12.00;12.00;12.00;20.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
df;12.00;12.00;12.00;12.00;12.00;12.00;20.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
es;12.00;12.00;12.00;12.00;12.00;12.00;12.00;17.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
go;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;19.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
ma;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;23.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
mt;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;17.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
ms;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;17.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
mg;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;18.00;7.00;7.00;12.00;7.00;7.00;7.00;12.00;12.00;7.00;7.00;12.00;12.00;7.00;7.00;
